x:-1.65717625618,y:3.73167419434,z:13.1019039154
x:-2.2464761734,y:5.88218784332,z:20.7185974121
x:-2.89937067032,y:7.56310892105,z:26.7890472412
x:-3.0559463501,y:8.47121906281,z:30.0972003937
x:-3.07108592987,y:8.87269210815,z:31.981678009
x:-3.36417341232,y:9.53769302368,z:33.7685966492
x:-3.41731929779,y:9.47807025909,z:34.4700546265
x:-3.46813321114,y:9.73308467865,z:34.5949020386
x:-3.47195982933,y:9.7432975769,z:34.8098106384
x:-3.23821163177,y:9.68424892426,z:34.9997558594
x:-4.52184867859,y:10.1446971893,z:35.2709617615
x:-5.3294210434,y:10.2452373505,z:35.8323554993
x:-6.12362623215,y:9.82774543762,z:36.9420204163
x:-6.31940460205,y:9.42262744904,z:37.0537185669
x:-6.85201692581,y:9.13264369965,z:36.942325592
x:-7.17523813248,y:9.01109313965,z:37.216091156
x:-7.36290121078,y:9.02763938904,z:37.0485153198
x:-7.41401863098,y:9.03867530823,z:36.4768791199
x:-7.56837415695,y:9.18785190582,z:36.6460952759
x:-7.21603155136,y:9.15759658813,z:35.9363250732
x:-7.00894069672,y:9.11215686798,z:36.3401184082
x:-6.51218223572,y:9.28852844238,z:36.2448043823
x:-6.46161317825,y:9.0365228653,z:36.2500572205
x:-6.12825870514,y:8.99102020264,z:36.7577209473
x:-5.73249721527,y:9.23910808563,z:36.9742660522
x:-5.68093967438,y:8.76662063599,z:36.996711731
x:-5.47829580307,y:8.33003902435,z:36.9647026062
x:-4.98068857193,y:8.30691242218,z:36.5370101929
x:-4.73745441437,y:8.58518409729,z:36.9660873413
x:-4.51886796951,y:8.43150901794,z:37.0765075684
x:-4.56946372986,y:8.29451274872,z:37.415222168
x:-4.39617729187,y:8.11372566223,z:37.2563896179
x:-4.26730108261,y:7.4997086525,z:37.114654541
x:-4.06266021729,y:7.93259954453,z:36.9127883911
x:-4.2078962326,y:8.1282119751,z:36.7163887024
x:-4.28725576401,y:8.22185134888,z:36.8865127563
x:-4.35784482956,y:8.29785346985,z:36.9933815002
x:-4.27207517624,y:8.25021457672,z:36.9665031433
x:-4.19658994675,y:8.16508197784,z:37.3885574341
x:-3.9003007412,y:9.81512928009,z:36.3883895874
x:-3.44489097595,y:9.41384124756,z:36.6727638245
x:-3.18124508858,y:9.14635562897,z:36.7890281677
x:-6.37924623489,y:18.5959606171,z:23.3041915894
x:-6.36100816727,y:24.1444797516,z:14.4295940399
x:-6.90085220337,y:18.7124347687,z:22.9239425659
x:-6.92564249039,y:15.027554512,z:28.6284008026
x:-6.38056135178,y:13.5192451477,z:31.4156074524
x:-5.78667163849,y:11.9683322906,z:33.3447761536
x:-4.06768035889,y:10.9556560516,z:34.7867889404
x:-1.93981492519,y:9.65474224091,z:35.3284721375
x:-1.37945973873,y:9.26196289062,z:35.7171478271
x:-1.16647839546,y:9.16094493866,z:36.4972839355
x:-1.038215518,y:8.46720600128,z:37.0878448486
x:-0.494728684425,y:7.93666362762,z:37.0480537415
x:-0.334219783545,y:7.80985450745,z:37.6246604919
x:-0.470353394747,y:7.63192081451,z:37.9723510742
x:-0.523071527481,y:7.43693447113,z:38.0209465027
x:-0.526571989059,y:7.36794185638,z:37.7282752991
x:-0.606865882874,y:7.59043884277,z:37.6937408447
x:-0.504093706608,y:7.65258550644,z:37.7492218018
x:-0.294582664967,y:7.5096206665,z:37.163192749
x:-0.350148320198,y:7.37269496918,z:37.4203796387
x:-2.99650192261,y:7.40587043762,z:37.3892211914
x:-4.29277658463,y:-8.22657871246,z:37.142742157
x:2.07478427887,y:-5.70435237885,z:36.5766983032
x:0.00751138664782,y:-0.0570599734783,z:36.8915100098
x:-7.52081203461,y:-0.675704419613,z:37.6522979736
x:-10.3659524918,y:1.39865243435,z:37.7230758667
x:-15.3687620163,y:-0.116745248437,z:38.2739372253
x:-9.62233543396,y:3.93813443184,z:37.3882255554
x:-14.8322429657,y:-2.70878744125,z:38.40832901
x:-17.1466369629,y:-1.47794866562,z:38.5154190063
x:-19.1428470612,y:-0.73288422823,z:38.4016914368
x:-8.05820560455,y:-7.9806637764,z:37.6985549927
x:-9.88055896759,y:-1.66625773907,z:37.2580566406
