p:352.054104552,r:5.91825603609,y:214.031357889
p:355.059450539,r:6.90915085257,y:220.821535811
p:357.16854572,r:7.15532026177,y:227.756117592
p:358.678447828,r:9.53294112836,y:233.319060784
p:359.673416159,r:12.492219624,y:239.410701599
p:1.14000478297,r:13.8265824557,y:245.5866611
p:1.10767813796,r:54.238313633,y:248.911481075
p:358.701452759,r:63.1941532954,y:252.559389488
p:356.28973324,r:55.1677077187,y:254.660451299
p:353.948923678,r:56.0668816323,y:258.48953048
p:354.141682289,r:63.9711214644,y:264.402869207
p:348.933505526,r:56.3620926535,y:265.522344042
p:340.52201828,r:27.8092125359,y:263.012495409
p:339.92727785,r:27.7958987897,y:266.002793208
p:340.000748488,r:28.1715301657,y:267.097549589
p:340.710367576,r:30.4028522223,y:268.918826361
p:342.176576965,r:32.5920610399,y:269.359687751
p:337.449852125,r:24.5933306633,y:268.248115445
p:337.229691222,r:25.3604804354,y:268.750195821
p:335.194081406,r:17.9001465503,y:269.218733137
p:335.633674089,r:22.636530985,y:270.494223154
p:340.218836428,r:30.4649010758,y:272.224801844
p:339.406537398,r:30.4943938326,y:272.067325003
p:351.503179786,r:53.0789743988,y:279.351332432
p:4.79824887307,r:329.773779885,y:283.128556816
p:6.14838517291,r:340.42906282,y:281.74942551
p:5.70490525897,r:350.055979668,y:282.625629497
p:6.89594809691,r:358.005525212,y:282.945514577
p:9.68516726194,r:51.924382146,y:280.652954752
p:7.9343165701,r:59.6932510438,y:280.944535527
p:6.25597772781,r:64.7730061635,y:280.099531844
p:6.32263653213,r:69.2900151674,y:279.433759154
p:6.34580965644,r:73.9270920666,y:277.052891814
p:4.78311232009,r:77.1523688644,y:276.139381333
p:4.9379680765,r:81.1591695674,y:274.473791892
p:4.28639620422,r:85.3008186951,y:272.729703088
p:2.54855211354,r:90.2175303692,y:271.153151993
p:0.534084134189,r:93.9716823748,y:270.151299846
p:1.45384397121,r:99.3315367221,y:269.756371478
p:2.93315686406,r:144.280233008,y:270.127564939
p:0.0521425245676,r:151.443161674,y:268.120998794
p:3.15927305129,r:157.069967135,y:262.931796724
p:0.714121570769,r:190.0233659,y:267.283037036
p:5.48563185406,r:117.612305809,y:259.118037657
p:8.01011288687,r:122.291709391,y:253.272420256
p:16.6750547925,r:128.845904277,y:239.754492341
p:9.51942589154,r:141.57523221,y:241.165199612
p:10.7825686332,r:137.468198481,y:234.495287661
p:356.101833883,r:139.979590737,y:242.243290331
p:356.822564195,r:137.308604281,y:234.234811567
p:353.094948968,r:141.928148085,y:241.695918971
p:10.9269255351,r:142.305256489,y:222.729808703
p:14.3157597503,r:137.172546913,y:211.630136585
p:10.083365583,r:139.924635035,y:209.878083779
p:5.96240552511,r:143.006225143,y:208.487908057
p:2.69015623575,r:143.274446672,y:207.35898707
p:358.377088463,r:145.240134134,y:206.234724272
p:355.858388865,r:148.560712561,y:203.90363535
p:353.369610939,r:149.356238354,y:202.357881579
p:349.315640096,r:151.181934259,y:200.668693835
p:344.723182261,r:152.49117224,y:199.895898911
p:286.807324024,r:284.825517315,y:50.8053376128
p:305.867492827,r:281.153184146,y:25.6391709366
p:73.7777568106,r:42.5665619453,y:162.544213491
p:343.160233488,r:339.438861268,y:45.7702997415
p:354.398407329,r:58.8713538904,y:250.876055216
p:325.020070675,r:302.792295776,y:55.0765485989
p:341.707713506,r:65.4017865484,y:275.017017328
p:307.822870119,r:307.066952593,y:72.3253307439
p:310.585254751,r:311.473814551,y:15.4454397419
p:281.221807057,r:86.9721796454,y:232.300078523
p:2.63949885711,r:288.657116836,y:64.0713886414
p:53.706832708,r:349.873124404,y:119.245308417
p:1.5596202294,r:354.326127706,y:9.62859707392
p:80.9621049494,r:290.811659029,y:261.311457286
p:25.6443448049,r:349.03809792,y:235.214506581
p:341.805079561,r:347.083745157,y:164.656900284
p:1.2154985437,r:342.093948751,y:283.777008146
p:19.0633260584,r:346.582112159,y:336.508167114
p:20.103148935,r:19.9213668654,y:15.3873916717
p:331.112387679,r:23.7294124786,y:124.06811865
p:36.2001221294,r:11.9841303894,y:0.105717841396
p:36.4443150526,r:11.0922477027,y:345.495886684
p:331.28500705,r:51.7731993238,y:71.7629466281
p:287.235249036,r:34.5909978628,y:112.558819597
p:335.569162952,r:55.7094612482,y:68.523469867
p:303.551696699,r:49.0605111478,y:101.844575054
p:295.008728311,r:353.376199937,y:182.320743007
p:295.823323993,r:37.0650733802,y:151.075601874
p:338.75832171,r:69.5705037158,y:127.068183621
p:2.58668911511,r:83.6351814434,y:122.180336326
p:297.364002933,r:92.7976070074,y:117.646060604
p:278.730147217,r:135.048986458,y:113.036270311
p:13.536631534,r:101.251987841,y:151.25165683
p:55.2974369167,r:262.170257952,y:323.838584553
p:286.358047841,r:260.283800684,y:344.847401204
p:24.8574882295,r:94.7095477108,y:155.979022
p:76.3528815616,r:113.92916728,y:169.976538477
p:37.0352459441,r:284.683872852,y:335.875947729
p:285.672303678,r:359.850822212,y:243.722982513
p:50.3566659013,r:77.8808221997,y:139.968047717
p:31.0546913257,r:279.940579681,y:316.362600997
p:2.40961389955,r:287.386585537,y:305.258922972
p:314.155671253,r:51.7045115264,y:159.198076495
p:57.0082934358,r:20.3707557467,y:66.5512937253
p:59.3739875115,r:71.9041129778,y:107.412224246
p:334.344557845,r:84.7924545454,y:120.502746243
p:68.7703470545,r:61.6046726529,y:98.5480525526
p:73.0843696664,r:293.294576226,y:327.677147451
p:74.3270747746,r:278.565123017,y:300.189331174
p:305.824172353,r:284.746758404,y:286.32733248
p:19.049662265,r:85.32157564,y:116.11067506
p:81.5698825025,r:117.474991686,y:143.777899916
p:21.9005200453,r:270.490323116,y:303.438062842
p:278.391690853,r:3.39608168623,y:208.214960037
p:347.41716511,r:90.9548492901,y:131.761985241
p:293.158354933,r:282.391914084,y:311.245860403
p:56.5650209889,r:291.624854521,y:336.159243485
p:33.8349027519,r:76.0785060325,y:114.460965809
p:293.249025694,r:70.2520882931,y:142.017814808
p:314.370890514,r:288.745048691,y:304.62624938
p:331.934901257,r:86.5520137284,y:144.6359356
p:37.7205051631,r:100.672159422,y:154.173953266
p:339.750953102,r:108.171065093,y:145.245147493
p:73.0547949473,r:157.19470005,y:208.148242749
p:76.786673706,r:135.358284745,y:186.294178236
p:33.6261072841,r:276.259380926,y:311.170957133
p:56.4743536427,r:64.0524963382,y:76.5362721408
p:59.6108311511,r:292.46788428,y:283.109015645
p:348.777811363,r:291.214141586,y:264.156347189
p:45.0494518218,r:55.3853073003,y:45.9024741473
p:34.3730977528,r:76.6107895047,y:58.9547505002
p:42.1580278405,r:303.013167019,y:273.565759223
p:3.58171021962,r:306.740199758,y:241.295287395
p:327.200758832,r:44.3817564342,y:94.3883375745
p:45.5850103697,r:27.8957868912,y:4.77598544458
p:324.91064763,r:56.8014684776,y:96.9699100242
p:317.579426518,r:349.527311073,y:189.862146115
p:332.570841388,r:354.906833804,y:193.505546603
p:22.4821550494,r:348.40779611,y:328.429656713
p:350.619292689,r:38.663952363,y:92.3260507471
p:328.368765576,r:334.839758513,y:219.29639555
p:12.359537223,r:336.352612971,y:287.423482219
p:18.1788080232,r:27.7610204287,y:34.9306563401
p:332.053294049,r:12.789426768,y:137.917256098
p:324.149515254,r:43.3209836599,y:113.004988044
